条款编号,类别,条款名称,级别,奖项/名次,分值,匹配关键词,备注
创新-01,创新创业,A类学科竞赛·国家级一等奖,国家级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,4,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;电子设计;工程实践;服务外包;广告艺术;职业规划;智能汽车;计算机设计;外语能力;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024·仅A1/A2类（教务处定级名单）；有特等奖则整体后推（特等4/一等3/二等2/三等1）
创新-02,创新创业,A类学科竞赛·国家级二等奖,国家级,二等奖;二等;银奖;亚军;第二名;第2名,3,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;电子设计;工程实践;服务外包;广告艺术;职业规划;智能汽车;计算机设计;外语能力;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024·A1/A2类
创新-03,创新创业,A类学科竞赛·国家级三等奖,国家级,三等奖;三等;铜奖;季军;第三名;第3名,2,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;电子设计;工程实践;服务外包;广告艺术;职业规划;智能汽车;计算机设计;外语能力;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024·A1/A2类
创新-04,创新创业,A类学科竞赛·国家级优秀奖,国家级,优秀奖;优胜奖,2,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模,手册P024·国家级优秀奖按省市级一等奖2分计
创新-05,创新创业,A类学科竞赛·省市级一等奖,省市级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,2,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;电子设计;工程实践;服务外包;广告艺术;职业规划;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024·有特等奖则后推
创新-06,创新创业,A类学科竞赛·省市级二等奖,省市级,二等奖;二等;银奖;亚军;第二名;第2名,1.5,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024
创新-07,创新创业,A类学科竞赛·省市级三等奖,省市级,三等奖;三等;铜奖;季军;第三名;第3名,1,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;英语竞赛;外语竞赛;英语辩论;英语写作,手册P024
创新-08,创新创业,A类学科竞赛·校级一等奖,校级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,1,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;英语竞赛;外语竞赛;英语辩论;英语写作,手册P025
创新-09,创新创业,A类学科竞赛·校级二等奖,校级,二等奖;二等;银奖;亚军;第二名;第2名,0.8,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模;英语竞赛;外语竞赛;英语辩论;英语写作,手册P025
创新-10,创新创业,A类学科竞赛·校级三等奖,校级,三等奖;三等;铜奖;季军;第三名;第3名,0.6,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模,手册P025
